latitude,longitude,depth,mag,gap,rms,nst,cluster
-23.6335,-179.7115,540.532,4.8,73.0,0.99,42.0,-1
55.653,-151.838,5.0,2.5,274.0,1.0,19.0,-1
33.461166666667,-116.42633333333,2.3,1.06,33.0,0.19,58.0,1
52.549,-170.707,105.0,3.1,193.0,0.5,39.0,-1
38.842166900635,-122.87882995606,2.2999999523163,0.73,157.0,0.02,9.0,1
38.840999603271,-122.87933349609,2.2799999713898,1.02,90.0,0.02,17.0,1
32.347,-102.077,6.1523,0.2,63.0,0.2,13.0,1
4.8685,125.4495,72.962,5.4,56.0,0.87,69.0,-1
52.082,-173.18,2.2,2.2,197.0,0.5,12.0,2
32.057333333333,-116.33133333333,24.28,2.03,76.0,0.2,27.0,1
31.881,-101.901,8.8135,0.3,67.0,0.2,12.0,1
36.530666351318,-121.15816497803,3.2300000190735,2.11,77.0,0.13,32.0,1
53.338,-167.32,16.7,1.8,203.0,0.3,16.0,2
35.779166666667,-117.72683333333,5.85,1.02,40.0,0.15,29.0,1
33.997666666667,-117.2155,4.46,0.88,43.0,0.19,55.0,1
52.814666666667,-169.87716666667,3.65,1.0,150.0,0.3,5.0,2
32.003,-103.809,8.1891,1.6,61.0,0.1,21.0,1
40.247333526611,-122.06199645996,12.579999923706,2.01,176.0,0.01,5.0,1
52.847333333333,-169.91383333333,8.51,0.42,250.0,0.18,4.0,2
36.527500152588,-121.15699768066,6.3600001335144,2.88,35.0,0.28,78.0,1
53.267,-167.253,8.4,1.8,209.0,0.3,15.0,2
52.114,-173.181,1.3,2.7,195.0,0.5,14.0,2
46.204,-122.187,2.81,0.08,131.0,0.07,10.0,1
39.462833333333,-111.2385,4.36,1.43,60.0,0.14,16.0,1
38.82833480835,-122.85500335693,2.1900000572205,0.94,76.0,0.02,14.0,1
35.309833333333,-117.80366666667,7.77,1.0,88.0,0.15,31.0,1
51.532,179.723,72.3,3.4,152.0,0.7,35.0,-1
36.300666666667,-89.5235,8.89,1.37,69.0,0.05,20.0,1
34.055833333333,-117.26216666667,15.29,0.91,63.0,0.17,41.0,1
-27.8004,-71.6044,10.0,4.3,139.0,0.99,25.0,-1
51.742,178.479,97.4,2.3,240.0,0.4,17.0,-1
38.848834991455,-122.8476638794,1.960000038147,0.42,137.0,0.04,10.0,1
33.716,-117.06233333333,11.66,0.71,104.0,0.11,26.0,1
51.582,178.709,60.8,2.2,223.0,0.4,14.0,-1
35.3145,-117.80816666667,7.47,0.93,86.0,0.18,32.0,1
33.5045,-116.4955,14.45,0.37,64.0,0.09,17.0,1
4.8238,125.5812,62.85,5.0,102.0,0.89,53.0,-1
35.174333333333,-118.66116666667,9.24,0.96,87.0,0.14,27.0,1
52.822666666667,-169.87183333333,6.94,0.47,167.0,0.09,5.0,2
49.018,-123.134,19.28,1.48,158.0,0.22,30.0,-1
35.312833333333,-117.8115,7.5,1.43,56.0,0.18,47.0,1
54.458,-161.74,11.4,2.2,230.0,0.6,19.0,2
37.519333333333,-118.77366666667,4.75,0.77,100.0,0.02,24.0,1
